System Time, Elapsed Time (sec), Package Power (Watt), CPU Power (Watt), DRAM Power (Watt), GPU Power (Watt), E-Core Frequency (Mhz), P-Core Frequency (Mhz), GPU Frequency (Mhz), CPU MIN Temperature (C), CPU AVG Temperature (C), CPU MAX Temperature (C), GPU AVG Temperature (C), CPU Utilization (%), E-Core Utilization (%), P-Core Utilization (%), GPU Utilization (%)
17:48:13.332, 81.965, 0.536, 0.242, 0.140, 0.000, 999, 825, 0, 56, 58, 61, 57, 9.308, 10.000, 9.076, 3.000
17:48:14.330, 82.962, 0.334, 0.220, 0.112, 0.000, 1016, 835, 0, 55, 57, 62, 57, 8.794, 6.030, 9.715, 1.000
17:48:15.330, 83.963, 0.402, 0.224, 0.126, 0.000, 999, 827, 0, 55, 57, 60, 57, 9.476, 8.416, 9.833, 4.000
17:48:16.345, 84.978, 1.342, 0.442, 0.370, 0.020, 1297, 1413, 57, 55, 57, 61, 57, 21.376, 40.299, 15.171, 12.000
17:48:17.339, 85.972, 0.938, 0.450, 0.384, 0.028, 1615, 1083, 90, 55, 57, 60, 57, 17.250, 36.816, 10.684, 14.000
17:48:18.332, 86.965, 0.738, 0.320, 0.246, 0.018, 1521, 903, 54, 56, 57, 60, 57, 12.137, 19.797, 9.596, 13.000
17:48:19.329, 87.962, 0.468, 0.284, 0.234, 0.018, 1446, 858, 54, 55, 57, 61, 57, 12.469, 21.212, 9.564, 14.000
17:48:20.333, 88.966, 9.528, 5.780, 1.042, 0.058, 1575, 2758, 53, 55, 57, 61, 57, 25.866, 19.212, 28.099, 21.000
17:48:21.332, 89.965, 8.454, 4.790, 0.996, 0.022, 1638, 3215, 54, 57, 59, 63, 57, 26.725, 11.055, 31.940, 13.000
17:48:22.330, 90.963, 6.710, 3.710, 1.010, 0.036, 1504, 3191, 72, 56, 59, 63, 57, 25.126, 12.060, 29.481, 13.000
17:48:23.339, 91.972, 8.052, 4.490, 1.064, 0.030, 1434, 3181, 60, 57, 60, 63, 58, 29.864, 11.940, 35.809, 15.000
17:48:24.324, 92.957, 9.462, 5.506, 1.114, 0.056, 1737, 3167, 85, 57, 60, 62, 58, 30.517, 14.070, 36.027, 19.000
17:48:25.329, 93.962, 6.642, 3.480, 1.070, 0.026, 1203, 3200, 77, 57, 60, 63, 58, 26.244, 12.000, 30.960, 13.000
17:48:26.503, 95.136, 16.776, 12.150, 1.274, 0.026, 1828, 3090, 63, 60, 62, 65, 58, 77.161, 63.136, 81.883, 14.000
17:48:27.331, 95.964, 7.046, 3.510, 1.090, 0.026, 1237, 3172, 54, 61, 64, 67, 59, 25.602, 13.333, 29.659, 14.000
17:48:28.328, 96.961, 7.046, 3.532, 1.090, 0.024, 1167, 3197, 54, 57, 60, 63, 59, 25.126, 12.000, 29.530, 13.000
17:48:29.329, 97.962, 6.508, 3.242, 1.102, 0.034, 1435, 3200, 54, 57, 60, 63, 58, 24.125, 11.000, 28.500, 16.000
17:48:30.329, 98.962, 7.112, 3.430, 1.116, 0.042, 1387, 3194, 68, 57, 60, 63, 59, 25.500, 13.000, 29.667, 13.000
17:48:31.325, 99.958, 6.912, 3.384, 1.122, 0.032, 1404, 3198, 61, 57, 60, 63, 59, 24.561, 9.548, 29.549, 13.000
17:48:32.350, 100.983, 19.662, 15.428, 1.422, 0.026, 2035, 3055, 55, 58, 60, 63, 59, 65.572, 49.756, 70.827, 14.000
